"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","success","phase","task","correct_response","correct"
"1331","<h1>General instructions: Individual differences in affective responses</h1><br><div style='text-align: left; width:80%; margin:auto;'><p>The goal of the task is first to identify, from four different strings of letters,the letter string that is different from the rest.</p><p>Press the 'm' key if the different letter string is an English word.</p><p>Press the 'z' key if the different letter string is a non word.</p><p>Please press any key to continue </p>","z","html-keyboard-response","0","1333","0.0-0.0","","","","",""
"","","","fullscreen","1","4538","0.0-1.0","true","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","2","5547","0.0-2.0-0.0","","test","","",""
"1654","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">unknown</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">unknown</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">unknown</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">txvdnbb</div>","z","html-keyboard-response","3","7202","0.0-2.0-1.0","","test","VST","z","true"
"null","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">CORRECT</p>","null","html-keyboard-response","4","8207","0.0-2.0-2.0","","test","feedback","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","5","9215","0.0-2.0-0.1","","test","","",""
"1447","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">jsghp</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">gwyqg</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">jsghp</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">jsghp</div>","z","html-keyboard-response","6","10663","0.0-2.0-1.1","","test","VST","z","true"
"null","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">CORRECT</p>","null","html-keyboard-response","7","11675","0.0-2.0-2.1","","test","feedback","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","12678","0.0-2.0-0.2","","test","","",""
"1829","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">vague</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">wrflz</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">vague</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">vague</div>","z","html-keyboard-response","9","14508","0.0-2.0-1.2","","test","VST","z","true"
"null","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">CORRECT</p>","null","html-keyboard-response","10","15513","0.0-2.0-2.2","","test","feedback","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","16520","0.0-2.0-0.3","","test","","",""
"2032","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">smvgxbr</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">utensil</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">smvgxbr</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">smvgxbr</div>","m","html-keyboard-response","12","18554","0.0-2.0-1.3","","test","VST","m","true"
"null","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">CORRECT</p>","null","html-keyboard-response","13","19559","0.0-2.0-2.3","","test","feedback","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","20571","0.0-2.0-0.4","","test","","",""
"2453","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">unitary</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">noodles</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">unitary</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">unitary</div>","m","html-keyboard-response","15","23026","0.0-2.0-1.4","","test","VST","m","true"
"null","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">CORRECT</p>","null","html-keyboard-response","16","24035","0.0-2.0-2.4","","test","feedback","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","25038","0.0-2.0-0.5","","test","","",""
"2062","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">gwmwql</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">gwmwql</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">zjgdys</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">gwmwql</div>","z","html-keyboard-response","18","27102","0.0-2.0-1.5","","test","VST","z","true"
"233","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">CORRECT</p>","z","html-keyboard-response","19","27336","0.0-2.0-2.5","","test","feedback","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","28343","0.0-2.0-0.6","","test","","",""
"2329","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">uncertain</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">uncertain</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">cgpfdjfrq</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">uncertain</div>","z","html-keyboard-response","21","30673","0.0-2.0-1.6","","test","VST","m","false"
"null","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">INCORRECT</p>","null","html-keyboard-response","22","31678","0.0-2.0-2.6","","test","feedback","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","32690","0.0-2.0-0.7","","test","","",""
"2316","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">kfftyn</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">kfftyn</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">kfftyn</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">kettle</div>","m","html-keyboard-response","24","35008","0.0-2.0-1.7","","test","VST","m","true"
"null","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">CORRECT</p>","null","html-keyboard-response","25","36014","0.0-2.0-2.7","","test","feedback","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","37025","0.0-2.0-0.8","","test","","",""
"1794","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">utensil</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">utensil</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">utensil</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">smvgxbr</div>","z","html-keyboard-response","27","38820","0.0-2.0-1.8","","test","VST","z","true"
"null","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">CORRECT</p>","null","html-keyboard-response","28","39827","0.0-2.0-2.8","","test","feedback","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","40831","0.0-2.0-0.9","","test","","",""
"null","<div class=""word"" style=""position:absolute; top:333.3333333333333px; left:533.3333333333334px;"">picture</div><div class=""word"" style=""position:absolute; top:333.3333333333333px; left:933.3333333333334px;"">pvnxbqy</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:533.3333333333334px;"">picture</div><div class=""word"" style=""position:absolute; top:733.3333333333333px; left:933.3333333333334px;"">picture</div>","null","html-keyboard-response","30","43842","0.0-2.0-1.9","","test","VST","z","false"
"246","<p class=""outcome_qm"" style=""font-size:30px;font-weight:bold;"">MISSED</p>","z","html-keyboard-response","31","44089","0.0-2.0-2.9","","test","feedback","",""
