Condition Index,Condition Type,Stimuli Combination,target,distractor1,distractor2,distractor3,correct_answer,stimuli
a,Facilitation Condition Trials,uncertainty word target + non-word distractor,maybe,trrlep,trrlep,trrlep,m,"maybe,trrlep,trrlep,trrlep"
a,Facilitation Condition Trials,uncertainty word target + non-word distractor,vague,wrflz,wrflz,wrflz,m,"vague,wrflz,wrflz,wrflz"
a,Facilitation Condition Trials,uncertainty word target + non-word distractor,chance,hxmwfn,hxmwfn,hxmwfn,m,"chance,hxmwfn,hxmwfn,hxmwfn"
a,Facilitation Condition Trials,uncertainty word target + non-word distractor,random,tfgnkc,tfgnkc,tfgnkc,m,"random,tfgnkc,tfgnkc,tfgnkc"
a,Facilitation Condition Trials,uncertainty word target + non-word distractor,unsure,qddkgm,qddkgm,qddkgm,m,"unsure,qddkgm,qddkgm,qddkgm"
a,Facilitation Condition Trials,uncertainty word target + non-word distractor,perhaps,lcmnprv,lcmnprv,lcmnprv,m,"perhaps,lcmnprv,lcmnprv,lcmnprv"
a,Facilitation Condition Trials,uncertainty word target + non-word distractor,unclear,jhldvfd,jhldvfd,jhldvfd,m,"unclear,jhldvfd,jhldvfd,jhldvfd"
a,Facilitation Condition Trials,uncertainty word target + non-word distractor,unknown,txvdnbb,txvdnbb,txvdnbb,m,"unknown,txvdnbb,txvdnbb,txvdnbb"
a,Facilitation Condition Trials,uncertainty word target + non-word distractor,uncertain,cgpfdjfrq,cgpfdjfrq,cgpfdjfrq,m,"uncertain,cgpfdjfrq,cgpfdjfrq,cgpfdjfrq"
a,Facilitation Condition Trials,uncertainty word target + non-word distractor,unforeseen,mncbfljdvq,mncbfljdvq,mncbfljdvq,m,"unforeseen,mncbfljdvq,mncbfljdvq,mncbfljdvq"
d,Disengagement Condition Trials,non-word target + uncertainty word distractor,trrlep,maybe,maybe,maybe,z,"trrlep,maybe,maybe,maybe"
d,Disengagement Condition Trials,non-word target + uncertainty word distractor,wrflz,vague,vague,vague,z,"wrflz,vague,vague,vague"
d,Disengagement Condition Trials,non-word target + uncertainty word distractor,hxmwfn,chance,chance,chance,z,"hxmwfn,chance,chance,chance"
d,Disengagement Condition Trials,non-word target + uncertainty word distractor,tfgnkc,random,random,random,z,"tfgnkc,random,random,random"
d,Disengagement Condition Trials,non-word target + uncertainty word distractor,qddkgm,unsure,unsure,unsure,z,"qddkgm,unsure,unsure,unsure"
d,Disengagement Condition Trials,non-word target + uncertainty word distractor,lcmnprv,perhaps,perhaps,perhaps,z,"lcmnprv,perhaps,perhaps,perhaps"
d,Disengagement Condition Trials,non-word target + uncertainty word distractor,jhldvfd,unclear,unclear,unclear,z,"jhldvfd,unclear,unclear,unclear"
d,Disengagement Condition Trials,non-word target + uncertainty word distractor,txvdnbb,unknown,unknown,unknown,z,"txvdnbb,unknown,unknown,unknown"
d,Disengagement Condition Trials,non-word target + uncertainty word distractor,cgpfdjfrq,uncertain,uncertain,uncertain,z,"cgpfdjfrq,uncertain,uncertain,uncertain"
d,Disengagement Condition Trials,non-word target + uncertainty word distractor,mncbfljdvq,unforeseen,unforeseen,unforeseen,z,"mncbfljdvq,unforeseen,unforeseen,unforeseen"
b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,table,iqnqg,iqnqg,iqnqg,m,"table,iqnqg,iqnqg,iqnqg"
b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,clock,pwvqs,pwvqs,pwvqs,m,"clock,pwvqs,pwvqs,pwvqs"
b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,window,djmrtb,djmrtb,djmrtb,m,"window,djmrtb,djmrtb,djmrtb"
b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,kettle,kfftyn,kfftyn,kfftyn,m,"kettle,kfftyn,kfftyn,kfftyn"
b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,mantel,ymrqjz,ymrqjz,ymrqjz,m,"mantel,ymrqjz,ymrqjz,ymrqjz"
b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,picture,pvnxbqy,pvnxbqy,pvnxbqy,m,"picture,pvnxbqy,pvnxbqy,pvnxbqy"
b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,utensil,smvgxbr,smvgxbr,smvgxbr,m,"utensil,smvgxbr,smvgxbr,smvgxbr"
b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,cabinet,grnlpsp,grnlpsp,grnlpsp,m,"cabinet,grnlpsp,grnlpsp,grnlpsp"
b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,appliance,klgwvkzti,klgwvkzti,klgwvkzti,m,"appliance,klgwvkzti,klgwvkzti,klgwvkzti"
b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,dishwasher,ztqtpuoefr,ztqtpuoefr,ztqtpuoefr,m,"dishwasher,ztqtpuoefr,ztqtpuoefr,ztqtpuoefr"
e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,iqnqg,table,table,table,z,"iqnqg,table,table,table"
e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,pwvqs,clock,clock,clock,z,"pwvqs,clock,clock,clock"
e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,djmrtb,window,window,window,z,"djmrtb,window,window,window"
