index,Condition Index,Condition Type,Stimuli Combination,target,distractor1,distractor2,distractor3,correct_answer,stimuli
0,practice,practice,categorized neutral word target + non-word distractor,test,zxcv,zxcv,zxcv,m,"test,zxcv,zxcv,zxcv"
0,practice,practice,non-word target + categorised neutral word distractor,zxcv,test,test,test,z,"zxcv,test,test,test"
0,practice,practice,categorized neutral word target + neutral word distractor,practice,test,test,test,m,"practice,test,test,test"
0,practice,practice,non-word target + non-word distractor,asdf,zxcv,zxcv,zxcv,z,"asdf,zxcv,zxcv,zxcv"
17,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,txvdnbb,unknown,unknown,unknown,z,"txvdnbb,unknown,unknown,unknown"
40,c,Facilitation Condition Trials,non-word target + non-word distractor,gwyqg,jsghp,jsghp,jsghp,z,"gwyqg,jsghp,jsghp,jsghp"
11,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,wrflz,vague,vague,vague,z,"wrflz,vague,vague,vague"
26,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,utensil,smvgxbr,smvgxbr,smvgxbr,m,"utensil,smvgxbr,smvgxbr,smvgxbr"
56,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,noodles,unitary,unitary,unitary,m,"noodles,unitary,unitary,unitary"
44,c,Facilitation Condition Trials,non-word target + non-word distractor,zjgdys,gwmwql,gwmwql,gwmwql,z,"zjgdys,gwmwql,gwmwql,gwmwql"
18,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,cgpfdjfrq,uncertain,uncertain,uncertain,z,"cgpfdjfrq,uncertain,uncertain,uncertain"
23,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,kettle,kfftyn,kfftyn,kfftyn,m,"kettle,kfftyn,kfftyn,kfftyn"
36,e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,smvgxbr,utensil,utensil,utensil,z,"smvgxbr,utensil,utensil,utensil"
35,e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,pvnxbqy,picture,picture,picture,z,"pvnxbqy,picture,picture,picture"
43,c,Facilitation Condition Trials,non-word target + non-word distractor,sbdmcq,qfzmbb,qfzmbb,qfzmbb,z,"sbdmcq,qfzmbb,qfzmbb,qfzmbb"
48,c,Facilitation Condition Trials,non-word target + non-word distractor,sxfghqlxc,bjxdblfvd,bjxdblfvd,bjxdblfvd,z,"sxfghqlxc,bjxdblfvd,bjxdblfvd,bjxdblfvd"
47,c,Facilitation Condition Trials,non-word target + non-word distractor,afjppqyq,grnlpsp,grnlpsp,grnlpsp,z,"afjppqyq,grnlpsp,grnlpsp,grnlpsp"
54,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,unused,rattle,rattle,rattle,m,"unused,rattle,rattle,rattle"
33,e,Disengagement Condition Trials,non-word target + categorised neutral word distractor,kfftyn,kettle,kettle,kettle,z,"kfftyn,kettle,kettle,kettle"
45,c,Facilitation Condition Trials,non-word target + non-word distractor,szknnjbt,pxaciuj,pxaciuj,pxaciuj,z,"szknnjbt,pxaciuj,pxaciuj,pxaciuj"
25,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,picture,pvnxbqy,pvnxbqy,pvnxbqy,m,"picture,pvnxbqy,pvnxbqy,pvnxbqy"
10,d,Disengagement Condition Trials,non-word target + uncertainty word distractor,trrlep,maybe,maybe,maybe,z,"trrlep,maybe,maybe,maybe"
56,f,Disengagement Condition Trials,uncategorized neutral word target + uncategorized neutral distractor,noodles,unitary,unitary,unitary,m,"noodles,unitary,unitary,unitary"
9,a,Facilitation Condition Trials,uncertainty word target + non-word distractor,unforeseen,mncbfljdvq,mncbfljdvq,mncbfljdvq,m,"unforeseen,mncbfljdvq,mncbfljdvq,mncbfljdvq"
24,b,Facilitation Condition Trials,categorized neutral word target + non-word distractor,mantel,ymrqjz,ymrqjz,ymrqjz,m,"mantel,ymrqjz,ymrqjz,ymrqjz"
